10cc-for_you_and_i;not angry - agressive
10cc-for_you_and_i;calming
2pac-trapped;not calming
2pac-trapped;not happy
2pac-trapped;angry
2pac-trapped;aggressive
5th_dimension-one_less_bell_to_answer;calming
5th_dimension-one_less_bell_to_answer;not happy
5th_dimension-one_less_bell_to_answer;sad
a_tribe_called_quest-bonita_applebum;not sad
a_tribe_called_quest-bonita_applebum;not angry - agressive
a_tribe_called_quest-bonita_applebum;calming
aaron_neville-tell_it_like_it_is;not happy
aaron_neville-tell_it_like_it_is;not angry - agressive
aaron_neville-tell_it_like_it_is;calming
abba-s.o.s.;not angry - agressive
abba-s.o.s.;happy
abba-s.o.s.;not calming
abba-s.o.s.;not sad
abc-poison_arrow;not calming
ac_dc-dirty_deeds_done_dirt_cheap;not calming
ac_dc-dirty_deeds_done_dirt_cheap;not sad
ac_dc-dirty_deeds_done_dirt_cheap;aggressive
ac_dc-dirty_deeds_done_dirt_cheap;angry
adam_and_the_ants-prince_charming;not calming
adam_and_the_ants-prince_charming;not happy
adverts-gary_gilmores_eyes;not happy
adverts-gary_gilmores_eyes;not calming
adverts-gary_gilmores_eyes;angry
adverts-gary_gilmores_eyes;not sad
aerobic_jonquil-sweat_machine;not sad
aerobic_jonquil-sweat_machine;not angry - agressive
aerobic_jonquil-sweat_machine;not happy
aerobic_jonquil-sweat_machine;calming
aerosmith-dude_looks_like_a_lady;not sad
aerosmith-dude_looks_like_a_lady;not calming
aerosmith-dude_looks_like_a_lady;happy
aimee_mann-wise_up;not angry - agressive
aimee_mann-wise_up;calming
aimee_mann-wise_up;not happy
air-sexy_boy;calming
al_green-sha-la-la_make_me_happy;calming
al_green-sha-la-la_make_me_happy;happy
al_green-sha-la-la_make_me_happy;not angry - agressive
al_green-sha-la-la_make_me_happy;not sad
alanis_morissette-thank_u;sad
alice_cooper-elected;not sad
alice_cooper-elected;not calming
alice_in_chains-no_excuses;sad
alicia_keys-fallin;not angry - agressive
allman_brothers_band-melissa;not angry - agressive
allman_brothers_band-melissa;calming
altered_images-dont_talk_to_me_about_love;happy
altered_images-dont_talk_to_me_about_love;not angry - agressive
altered_images-dont_talk_to_me_about_love;not sad
american_music_club-jesus_hands;not angry - agressive
american_music_club-jesus_hands;calming
andrews_sisters-boogie_woogie_bugle_boy;not angry - agressive
andrews_sisters-boogie_woogie_bugle_boy;happy
andrews_sisters-boogie_woogie_bugle_boy;not sad
ani_difranco-crime_for_crime;angry
ani_difranco-crime_for_crime;not happy
ani_difranco-crime_for_crime;not calming
animals-im_crying;not angry - agressive
animals-im_crying;aggressive
animals-im_crying;not calming
anita_baker-caught_up_in_the_rapture;calming
anita_baker-caught_up_in_the_rapture;not angry - agressive
anita_baker-caught_up_in_the_rapture;happy
anita_baker-caught_up_in_the_rapture;not sad
antiguru-peering;not angry - agressive
antiguru-peering;not sad
antiguru-peering;happy
antiguru-peering;calming
antonio_carlos_jobim-wave;happy
antonio_carlos_jobim-wave;not angry - agressive
antonio_carlos_jobim-wave;not sad
anup-life_glides;not sad
anup-life_glides;not angry - agressive
anup-life_glides;happy
aphex_twin-come_to_daddy;not calming
aphex_twin-come_to_daddy;not happy
aphex_twin-come_to_daddy;aggressive
aphex_twin-come_to_daddy;angry
apples_in_stereo-glowworm;not sad
apples_in_stereo-glowworm;not angry - agressive
aretha_franklin-dont_play_that_song;not angry - agressive
arlo_guthrie-alices_restaurant_massacree;not angry - agressive
arlo_guthrie-alices_restaurant_massacree;calming
arlo_guthrie-alices_restaurant_massacree;happy
arlo_guthrie-alices_restaurant_massacree;not sad
art_tatum-willow_weep_for_me;happy
art_tatum-willow_weep_for_me;calming
art_tatum-willow_weep_for_me;not angry - agressive
artemis-don_t_look_back;not happy
artemis-don_t_look_back;not angry - agressive
artemis-don_t_look_back;not sad
arthur_alexander-you_dont_care;not happy
arthur_alexander-you_dont_care;not angry - agressive
arthur_yoria-at_least_you_ve_been_told;not calming
arthur_yoria-at_least_you_ve_been_told;not sad
arthur_yoria-at_least_you_ve_been_told;not angry - agressive
ashford_and_simpson-solid;not angry - agressive
ashford_and_simpson-solid;happy
ashford_and_simpson-solid;not sad
association-windy;not angry - agressive
association-windy;happy
association-windy;not sad
atomic_opera-watergrave;not happy
b.b._king-sweet_little_angel;calming
b.b._king-sweet_little_angel;not angry - agressive
backstreet_boys-as_long_as_you_love_me;calming
backstreet_boys-as_long_as_you_love_me;not angry - agressive
badly_drawn_boy-all_possibilities;not sad
badly_drawn_boy-all_possibilities;happy
band-king_harvest_has_surely_come;not sad
band-king_harvest_has_surely_come;happy
barbara_leoni-don_t_rain_on_my_parade;happy
barbara_leoni-don_t_rain_on_my_parade;not sad
barbara_leoni-don_t_rain_on_my_parade;not angry - agressive
barenaked_ladies-its_all_been_done;not angry - agressive
barenaked_ladies-its_all_been_done;not calming
barry_manilow-mandy;not angry - agressive
barry_manilow-mandy;calming
barry_white-cant_get_enough_of_your_love_babe;not angry - agressive
bauhaus-ziggy_stardust;not calming
bauhaus-ziggy_stardust;not sad
bay_city_rollers-saturday_night;happy
bay_city_rollers-saturday_night;not calming
bay_city_rollers-saturday_night;not angry - agressive
