A001;Q4;;;;;;;
A002;Q4;;;;;;;
A003;Q3;;;;;;;
A004;Q3;;;;;;;
A005;Q1;;;;;;;
A010;Q2;;;;;;;
A011;Q1;;;;;;;
A013;Q2;;;;;;;
A014;Q1;;;;;;;
A017;Q4;;;;;;;
A018;Q3;;;;;;;
A019;Q1;;;;;;;
A020;Q2;;;;;;;
A021;Q4;;;;;;;
A022;Q1;;;;;;;
A023;Q2;;;;;;;
A024;Q1;;;;;;;
A025;Q2;;;;;;;
A028;Q2;;;;;;;
A029;Q3;;;;;;;
A030;Q4;;;;;;;
A032;Q4;;;;;;;
A034;Q3;;;;;;;
A035;Q3;;;;;;;
A038;Q3;;;;;;;
A039;Q1;;;;;;;
A042;Q1;;;;;;;
A043;Q1;;;;;;;
A045;Q3;;;;;;;
A047;Q1;;;;;;;
A048;Q3;;;;;;;
A049;Q2;;;;;;;
A050;Q1;;;;;;;
A051;Q2;;;;;;;
A052;Q2;;;;;;;
A055;Q2;;;;;;;
A058;Q4;;;;;;;
A060;Q3;;;;;;;
A061-66;Q3;;;;;;;
A062-170;Q2;;;;;;;
A063-90;Q4;;;;;;;
A064-116;Q1;;;;;;;
A066-140;Q4;;;;;;;
A067-104;Q4;;;;;;;
A068-167;Q2;;;;;;;
A071-70;Q3;;;;;;;
A073-143;Q3;;;;;;;
A074-91;Q2;;;;;;;
A077-122;Q1;;;;;;;
A078-173;Q4;;;;;;;
A080-92;Q2;;;;;;;
A081-67;Q3;;;;;;;
A082-93;Q2;;;;;;;
A083-158;Q3;;;;;;;
A084-75;Q3;;;;;;;
A085-69;Q3;;;;;;;
A086-123;Q1;;;;;;;
A087-165;Q2;;;;;;;
A088-136;Q4;;;;;;;
A090-94;Q2;;;;;;;
A091-95;Q2;;;;;;;
A092-96;Q1;;;;;;;
A094-110;Q1;;;;;;;
A095-113;Q1;;;;;;;
A096-68;Q3;;;;;;;
A097-152;Q3;;;;;;;
A098-154;Q4;;;;;;;
A100-124;Q1;;;;;;;
A101-111;Q1;;;;;;;
A102-114;Q1;;;;;;;
A103-99;Q2;;;;;;;
A104-119;Q1;;;;;;;
A105-117;Q1;;;;;;;
A106-100;Q3;;;;;;;
A107-115;Q1;;;;;;;
A109-138;Q4;;;;;;;
A111-141;Q4;;;;;;;
A114-120;Q1;;;;;;;
A115-84;Q1;;;;;;;
A116-135;Q2;;;;;;;
A117-76;Q3;;;;;;;
A119-151;Q4;;;;;;;
A120-168;Q4;;;;;;;
A126-77;Q3;;;;;;;
A127-133;Q2;;;;;;;
A128-109;Q1;;;;;;;
A130-162;Q3;;;;;;;
A131-101;Q2;;;;;;;
A132-121;Q1;;;;;;;
A134-142;Q4;;;;;;;
A136-97;Q2;;;;;;;
A137-153;Q4;;;;;;;
A140-166;Q2;;;;;;;
A141-139;Q4;;;;;;;
A142-98;Q2;;;;;;;
A143-72;Q3;;;;;;;
A145-134;Q4;;;;;;;
A146-118;Q1;;;;;;;
A147-169;Q2;;;;;;;
A148-102;Q1;;;;;;;
A150-132;Q2;;;;;;;
A151-172;Q2;;;;;;;
A152-108;Q1;;;;;;;
A153-130;Q1;;;;;;;
A157-71;Q3;;;;;;;
A159-164;Q2;;;;;;;
A160-149;Q1;;;;;;;
A162;Q1;;;;;;;
A165;Q4;;;;;;;
A166;Q1;;;;;;;
A167;Q1;;;;;;;
A168;Q4;;;;;;;
A170;Q3;;;;;;;
A171;Q3;;;;;;;
A172;Q2;;;;;;;
A174;Q2;;;;;;;
A176;Q2;;;;;;;
A177;Q2;;;;;;;
A178;Q4;;;;;;;
A179;Q4;;;;;;;
A182;Q2;;;;;;;
A183;Q2;;;;;;;
A186;Q4;;;;;;;
A187;Q1;;;;;;;
A188;Q3;;;;;;;
A190;Q4;;;;;;;
A191;Q3;;;;;;;
A192;Q4;;;;;;;
A193;Q2;;;;;;;
A194;Q2;;;;;;;
A195;Q3;;;;;;;
A196;Q1;;;;;;;
A198;Q4;;;;;;;
MT0000004637;Q3;;;;;;;
